genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Male,37.4286,Right,DN,OFF sustained alpha,DJID_2927,233.333333333333,108.222,44.6666666666667,95.6666666666667,439,160,30,42,92,112.666666666667,4626.49999999997,NaN
WT,Male,37.4286,Right,DN,OFF sustained alpha,DJID_2927,300,110.111,9.66666666666667,75,1200,858,30,115,98,110,8275.99999999999,NaN
WT,Male,37.4286,Right,DN,OFF sustained alpha,DJID_2927,233.333333333333,102.667,28,82.3333333333333,614,858,42,82,90.3333333333333,99.3333333333333,4288.99999999999,NaN
WT,Female,68.2857,Left,VT,OFF sustained alpha,DJID_1725,166.666666666667,54.1667,23.3333333333333,57,224,30,30,224,49,73.3333333333333,427.636363636364,NaN
WT,Female,12.4286,Right,DT,OFF sustained alpha,DJID_3140,233.333333333333,89.2917,28,76.6,439,82,42,614,91,112.25,1216.77777777778,NaN
WT,Female,12.4286,Right,DT,OFF sustained alpha,DJID_3140,450,30.5833,2,32.3333333333333,614,59,30,314,32.3333333333333,112.666666666667,839,NaN
WT,Female,12.4286,Right,DT,OFF sustained alpha,DJID_3140,233.333333333333,74.6667,6,82.6666666666667,314,30,30,224,63.6666666666667,111.333333333333,449,NaN
WT,Female,27.4286,Left,DT,OFF sustained alpha,DJID_3138,250,114.472,8,75.3333333333333,314,858,30,59,82.5,133.5,412.181818181818,NaN
WT,Male,12.1429,Right,DT,OFF sustained alpha,DJID_3142,266.666666666667,86.8333,8.33333333333333,103.333333333333,439,30,30,160,70.6666666666667,138,3926.50000000001,NaN
WT,Male,12.1429,Left,DN,OFF sustained alpha,DJID_3142,300,51,3.33333333333333,30,160,82,42,314,66.3333333333333,63,164.017857142857,NaN
WT,Female,13,Right,DN,OFF sustained alpha,DJID_3141,233.333333333333,9.88889,1,9,439,59,42,314,9.66666666666667,59.3333333333333,503.5,NaN
WT,Female,13,Right,DT,OFF sustained alpha,DJID_3141,300,91.5,10,94.6666666666667,224,42,30,224,82,144,344,NaN
WT,Female,13,Right,DT,OFF sustained alpha,DJID_3141,266.666666666667,40,5.66666666666667,20.3333333333333,314,59,82,30,75.3333333333333,42.5,331,NaN
WT,Female,50.4286,Right,DT,OFF sustained alpha,DJID_3198,166.666666666667,51.5556,2.66666666666667,1.33333333333333,224,439,30,30,56,61,234.24,NaN
WT,Female,50.4286,Right,DT,OFF sustained alpha,DJID_3198,200,88.5,4.33333333333333,34.3333333333333,614,614,30,42,63.6666666666667,86.6666666666667,3149,NaN
WT,Female,50.4286,Right,DT,OFF sustained alpha,DJID_3198,233.333333333333,52.2222,3,56.6666666666667,314,42,30,1200,38.6666666666667,81.6666666666667,719,NaN
WT,Female,50.4286,Right,DT,OFF sustained alpha,DJID_3198,266.666666666667,55.2778,3,60,160,30,30,1200,41.6666666666667,82,168.1,NaN
WT,Female,50.4286,Right,DT,OFF sustained alpha,DJID_3198,200,66.7222,4.66666666666667,55,614,439,82,82,72.3333333333333,72.6666666666667,1664,NaN
WT,Female,50.4286,Right,DT,OFF sustained alpha,DJID_3198,200,61.0556,3.66666666666667,30,1200,858,42,59,50.6666666666667,70.3333333333333,2811.5,NaN
WT,Female,50.4286,Right,VN,OFF sustained alpha,DJID_3198,266.666666666667,78.9444,4.66666666666667,81,224,30,30,160,69.6666666666667,111.333333333333,336,NaN
WT,Female,50.4286,Right,VN,OFF sustained alpha,DJID_3198,200,54.7222,2.33333333333333,54.6666666666667,439,42,30,1200,45.3333333333333,87.6666666666667,657.75,NaN
WT,Female,50.4286,Right,DN,OFF sustained alpha,DJID_3198,250,62.8611,3,65.3333333333333,314,614,30,160,44,89.6666666666667,413,NaN
WT,Female,50.4286,Right,DT,OFF sustained alpha,DJID_3199,133.333333333333,38.3889,3.66666666666667,28,314,1200,30,160,32.3333333333333,51,363.5,NaN
WT,Female,50.4286,Right,DT,OFF sustained alpha,DJID_3198,233.333333333333,135.333,11,6.66666666666667,314,314,42,42,112,132.666666666667,509.461538461538,NaN
WT,Female,50.4286,Right,DT,OFF sustained alpha,DJID_3199,300,91.6667,3,112.333333333333,1200,30,30,224,26,133.333333333333,3837,NaN
WT,Female,50.4286,Right,DT,OFF sustained alpha,DJID_3199,333.333333333333,92,2.66666666666667,113.666666666667,224,30,30,160,37.6666666666667,143.333333333333,305.142857142857,NaN
WT,Female,50.4286,Right,DN,OFF sustained alpha,DJID_3199,300,79.9444,3,87.3333333333333,160,42,30,1200,18,117,261.25,NaN
WT,Female,50.4286,Right,DT,OFF sustained alpha,DJID_3199,400,91.3889,1.5,114,439,42,30,160,40,136.5,560.5,NaN
WT,Female,50.4286,Right,DT,OFF sustained alpha,DJID_3199,350,95.8333,4,106.666666666667,314,30,30,1200,50,152.666666666667,498.8,NaN
WT,Female,50.4286,Right,DN,OFF sustained alpha,DJID_3198,200,73.3333,4.33333333333333,71,439,42,30,160,66.6666666666667,92,709.833333333333,NaN
WT,Female,50.4286,Left,VT,OFF sustained alpha,DJID_3199,250,66.5,5.66666666666667,68.6666666666667,314,30,30,160,57.3333333333333,100.666666666667,505.25,NaN
WT,Female,50.4286,Left,DN,OFF sustained alpha,DJID_3198,200,41.6667,3,39,314,42,30,314,46.6666666666667,66,719,NaN
WT,Female,50.4286,Left,,OFF sustained alpha,DJID_3199,300,71.5,5,77,614,42,30,160,64,125.333333333333,3539,NaN
WT,Female,50.4286,Left,VT,OFF sustained alpha,DJID_3199,266.666666666667,46.9167,13,41,314,30,30,224,44.5,79,404,NaN
WT,Male,37.4286,Left,DN,OFF sustained alpha,DJID_1126,366.666666666667,127.222,18.3333333333333,125,314,30,42,614,89.3333333333333,213,372.928571428571,NaN
WT,Male,20.1429,Right,VN,OFF sustained alpha,DJID_3057,200,56.2222,3,63.5,1200,30,30,224,41,82.6666666666667,1932,NaN
